nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"ANY IBERIA","AV EUROPA (DE) 24 PARQUE EMPRESARIAL LA MORALEJA","28108","PARQUE EMP. MORALEJA","917277892","NO DISPONIBLE","alice.cappelletti@agipiberia.es","www.anyiberia.es","AMPARO SANZ","","MAYORISTAS","VENTA AL POR MAYOR DE LUBRICANTES",40.51310328,-3.65770365
"APARICIO ARQUITECTOS","CR FUENCARRAL (DE) 44 - EDIFICIO 7 LOFT 33","28108","POLIGONO INDUSTRIAL","918316924","NO DISPONIBLE","info@aparicioarquitectos.com","www.aparcioarquitectos.com","SANTIAGO APARICIO","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","ARQUITECTURA, URBANISMO, DISEÑO Y CONSULTORIA",40.51888227,-3.65470622
"APETEAT","CL JOSE ECHEGARAY (DE) 8","28100","PARQUE EMP. CASABLANCA","689272730 - 626879894","NO DISPONIBLE","pablo.samaranch@apeteat.es","NO DISPONIBLE","PABLO  SAMARANCH","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","RESTAURANTE ON LINE. E-COMERCE DE  COMIDA MEDITERRANEA A LA  OFICINA",40.54230509,-3.65435273
"APPLUS ITEUVE TECHNOLOGY","CL MALICIOSA (DE LA) 1","28109","POLIGONO INDUSTRIAL","91/1290092","NO DISPONIBLE","nohemi.vernet@applus.com","NO DISPONIBLE","NOHEMI VERNET COMAS","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","INSPECCION TECNICA DE VEHICULOS",40.53940552,-3.65849714
"APPLUS ITV","AV VALDELAPARRA (DE) 46","28100","CASCO URBANO","911014808","NO DISPONIBLE","empresas@tumejoritv.com","www.tumejoritv.com","PABLO GIMENEZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","ITV",40.54001469,-3.65830730
"APROK IMAGEN","CL VALPORTILLO II (DE) 14 - PLANTA 1","28108","POLIGONO INDUSTRIAL","916572511","916613028","administracion@korpapress.com","NO DISPONIBLE","IRENE YUSTE","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","PUBLICIDAD Y NOTICIAS",40.53318462,-3.65565272
"AQUA E-SOLUTIONS, S.A.","AV BRUSELAS (DE) 5 - 3º","28108","ARROYO DE LA VEGA","902101400","913148375","NO DISPONIBLE","www.aquaesolutions.com","ANDREA DURAN","","INFORMATICA","FABRICACION DE SOFTWARE DE GESTION PARA LA PYME",40.53067721,-3.63274744
"ARAGONESES CPD","CL SEPULVEDA (DE) 13","28108","POLIGONO INDUSTRIAL","916611102","916618174","administracion@aragonesescpd.com","www.aragonesescpd.com","EVA MARTINEZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","LABORATORIO DE PROTESIS DENTAL",40.52886109,-3.65321427
"ARCA","CL ESCORIAL (DEL) 88","28100","CASCO URBANO","605887931","NO DISPONIBLE","rafael@cansinos.org","www.cansinos.org","RAFAEL MANUEL CANSINOS GALAN","","EDITORIALES","PROMOCION DEL ESCRITOR RAFAEL CANSINOS ASSENS Y SU TIEMPO (LA EDAD DE PALTA)",40.55008834,-3.64070753
"ARGENCAR SPORT","CL GRANJA (DE LA) 86 - NAVE 19","28108","POLIGONO INDUSTRIAL","916617551","916572038","argencarsport@hotmail.es","NO DISPONIBLE","IVAN AGUILAR","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","CHAPA Y PINTURA",40.53538748,-3.65671522
"ARGUMOSA MOTOR","AV VALDELAPARRA (DE) 11","28100","POLIGONO INDUSTRIAL","917793626 / 601026857","NO DISPONIBLE","recepcion@argumosamotor.es","www.argumosamotor.es","LORENA PEREZ","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","MECANICA, CHAPA Y PINTURA",40.53832946,-3.64538506
"ARJOSA","CL PINTOR MURILLO (DEL) 9 3º B","28100","CASCO URBANO","911828287","NO DISPONIBLE","presupuestos@arjosa.es","www.arjosa.es","JOSE ANTONIO BUENO","","INMOBILIARIAS Y CONSTRUCTORAS","INMOBIARIA Y CONSTRUCTORA.IMPERMEABILIZACIONES, CUBIERTAS",40.53886396,-3.63997208
"ARJOSA","CL ANTONIO MACHADO (DE) 28 LOCAL","28100","CASCO URBANO","911828287","NO DISPONIBLE","presupuestos@arjosa.es","www.arjosa.es","JOSE ANTONIO BUENO","","INMOBILIARIAS Y CONSTRUCTORAS","INMOBILIARIA Y CONSTRUCTORA, IMPERMIBILIZACIONES, CUBIERTAS",40.53870414,-3.63559172
"ARMARIOS PUERTAS","CL VALGRANDE (DE) 1 - BIS - 2","28108","POLIGONO INDUSTRIAL","913862700 / 913166140","916625071","decoracionesbelens.l@hotmail.com","NO DISPONIBLE","HOSSAM AKMOCH","","CARPINTERIA Y EBANISTERIA","MONTAJE DE ARMARIOS",40.53552280,-3.64809089
"ARNEG ESPAÑA","AV INDUSTRIA (DE LA) 32 - PLANTA 2º OFIC 7","28108","POLIGONO INDUSTRIAL","916572843","916619793","arneg@arneg.es","www.arneg.es","RAQUEL FERRARI","","FRIO INDUSTRIAL","FRIO COMERCIAL",40.53412153,-3.65245488
"ARQUITECTURA Y GESTION","AV DOCTOR SEVERO OCHOA (DEL) 38 BLOQUE B2, LOCAL 2-1","28100","PARQUE EMP. CASABLANCA","913449265","NO DISPONIBLE","lquintana@arquitecturaygestion.com","NO DISPONIBLE","LUIS QUINTANA","","ESTUDIOS DE DELINEACION, ARQUITECTURA, LICENCIAS DE APERTURA, URBANISMO Y DISEÑO. INGENIERIAS, PROYECTOS","AQUITECTURA E INGIENERIA",40.54091291,-3.65506360
"ARTTEC","AV DOCTOR SEVERO OCHOA (DEL) 29","28100","PARQUE EMP. CASABLANCA","914905930","914905925","info@grupobeer.com","www.grupobeer.com","CARLOS GUTIERREZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","REFORMAS DE CONSTRUCCIÓN",40.54146460,-3.65239849
"ARYAN COMUNICACIONES","AV INDUSTRIA (DE LA) 4 - EDIFICIO NATEA,  PORTAL 2  PLANTA 3ª","28108","POLIGONO INDUSTRIAL","916574848 / 916374820","916614241","aryan@aryan.es","www.aryan.es","PEDRO GONZALEZ","","MAYORISTAS","MAYORISTA PRODUCTOS INFORMATICOS",40.53543008,-3.64232167
"ARYS  DISEÑO Y CONSTRUCCION","AV DOCTOR SEVERO OCHOA (DEL) 47 3ª PTA.","28100","PARQUE EMP. CASABLANCA","916532909","NO DISPONIBLE","info@grupoaryscom","www.grupoarys.com","RAMON ROSALES JUEGA","","CONSTRUCCION. CONSERVACION DE EDIFICIOS. REFORMAS (ALBAÑILERIA,  PINTURA, PULIDOS, SOLADOS, ALICATADOS)","CONSTRUCCION",40.54041992,-3.65466504
"ASDEIDEAS","CL PRINCIPE (DEL) 2","28100","CASCO URBANO","654825080","NO DISPONIBLE","info@asdeideas.com","NO DISPONIBLE","LUIS MIGUEL MARI","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","DISEÑO WEB, DISEÑO GRAFICO, E-LEARNING",40.54400906,-3.64045365
"ASENTA  MANAGMENT CONSULTANTS","AV VEGA (DE LA) 1 - EDIFICIO 3 - 1ª","28100","ARROYO DE LA VEGA","917480497","NO DISPONIBLE","asenta@asenta.es","www.asenta.es","LUIS MAULEON","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","CONSULTORIA DE DIRECCION ESPECIALIZADA EN EXCELENCIA Y OPERACIONAL Y METODOS DE GESTION AVANZADA",40.52433701,-3.63873734
"ASEPEYO","PS CHOPERA (DE LA) 28 - 30","28100","CASCO URBANO","916610612","916612914","alcobendas@asepeyo.es","www.asepeyo.es","JAVIER RODRIGUEZ CARRO","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","MUTUA DE ACCIDENTES DE TRABAJO",40.53850644,-3.63809080
"ASESORIA JOSE LUIS RAMO","CL FRANCISCO LARGO CABALLERO 20","28100","CASCO URBANO","699466471","NO DISPONIBLE","jramof@hotmail.com","NO DISPONIBLE","JOSE LUIS RAMO FLOREZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","ESTUDIOS DE MERCADO, ASESORIA INFORMATICA Y MARKETING ON-LINE",40.55365326,-3.64922394
"ASESVISION 3.0, S.L","CL RAMON Y CAJAL (DE) 5","28100","CENTRO DE EMPRESAS","637392583","NO DISPONIBLE","Fernando.ruiz@asesvision.com","www.quieroestasgafas.com","FERNANDO RUIZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","VENTA AL POR MAYOR PRODUCTO USO O VENTA EN  OPTICAS O AFINES; VENTA AL POR MENOR DE GAFAS DE SOL Y AFINES",40.54250148,-3.65225970
"ASETYC","AV INDUSTRIA (DE LA) 36","28108","POLIGONO INDUSTRIAL","902999872","916610089","gema.ortega@dicomat-asetyc.com","www.asetyc.com","ALVARO MALLOL","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","FABRICACION DE MATERIAL ELECTRICO (RELES, ELECTROIMANES, TRANSFORMADORES). MARCA RELES ASETYC",40.53401929,-3.65310741
"ASIFOR INGENIERIA","CL MARQUES DE LA VALDAVIA (D 104 -LOCAL 3","28100","CASCO URBANO","912797659","NO DISPONIBLE","info@asifor.com","www.asifor.com","PEDRO MENODIO FERNANDEZ","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","INGENIERIA EN PREVENCION, FORMACION Y COORDINACION DE ACTIVIDADES",40.54657180,-3.64815770
"ASIME","AV VALDELAPARRA (DE) 27","28108","POLIGONO INDUSTRIAL","915491407/916619050","916619248","asime@asimesa.com","www.asime.com","DEPARTAMENTO DE ADMINISTRACION","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","INSTALACIONES ELECTRICAS",40.53889230,-3.64696818
"ASITRADE","CL VALPORTILLO I (DE) 18","28108","POLIGONO INDUSTRIAL","916638378","NO DISPONIBLE","asitrade@asitrade.es","www.asitrade.es","OLIVIER","","MUEBLES, COLCHONERIA","MAYORISTA DE MUEBLES",40.53183551,-3.65385238
"ASOCIACION CULTURAL BLOCO DO BALIZA","CL SAN JOSE ARTESANO (DE) 7","28108","POLIGONO INDUSTRIAL","659465600","NO DISPONIBLE","guillermo247@gmail.com","www.blocodobaliza.com","GUILLERMO DIAZ PEREZ","","DISCOGRAFIA E INSTRUMENTOS MUSICALES. SALAS DE ENSAYO Y AUDICION","TALLER DE CREACION MUSICAL",40.52967383,-3.65474241
"ASTEC S.A","CL VALPORTILLO I (DE) 10","28108","POLIGONO INDUSTRIAL","916610362 - 916617387","916617387","comercial@astec.es","www.astec.es","JOSE MANUEL ASTORGA","","ELECTRICIDAD, ELECTRONICA, AUDIO Y TELECOMUNICACIONES","DISTRIBUCION EQUIPOS RADIOCOMUNICACIONES Y SONIDOS PROFESIONAL",40.53088418,-3.65381930
"ATAGUIA","CL SEPULVEDA (DE) 21","28108","POLIGONO INDUSTRIAL","916613727 / 679443999","916614289","ataguia@ataguia.es","www.ataguia.es","BELEN GARCIA","","FABRICACION, DISTRIBUCION Y ALQUILER DE SUMINISTROS A EMPRESAS","COMERCIALIZACION VALVULERIA INDUSTRIAL",40.52867862,-3.65430586
"ATECALSA","CL GRANJA (DE LA) 39","28108","POLIGONO INDUSTRIAL","917301411","NO DISPONIBLE","atecalsa@atecalsa.com","www.atecalsa.com","YAGO CALDERON","","CLIMATIZACION: CALEFACCION - AIRE ACONDICIONADO Y CHIMENEAS","MANTENIMIENTO E INSTALACIÓN DE CALEFACCIÓN Y A/A",40.53435071,-3.65697764
"ATELIER DE PATISSERIE","CL REYES CATOLICOS (DE LOS) 6 NAVE 303","28108","POLIGONO INDUSTRIAL","610550044","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ROSALBA","","PANADERIAS, PASTELERIAS, CHURRERIAS","REPOSTERIA",40.53652585,-3.65212849
"ATIP","CL SONRISA (DE LA) 2 - ENTRADA AV. DE LA MAGIA, 1 LOCAL 2","28100","CASCO URBANO","687670355","NO DISPONIBLE","mafernandez@atiprevencion.es","www.atiprevencion.es","MIGUEL ANGEL FERNANDEZ GERRERO","","GESTORES, ASESORES, CONSULTORES, INGENIEROS Y ADMINISTRACION DE FINCAS","PREVENCION DE RIESGOS LABORALES",40.54104188,-3.63240185
"ATLAS GOURMET","CL GRANJA (DE LA) 100 - NAVE 7","28108","POLIGONO INDUSTRIAL","913027576","917668027","info@atlasgourmet.com","www.atlasgourmte.com","CARLOS ESCUDERO","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","DISTRIBUCION DE PRODUCTOS ALIMENTICIOS",40.53609958,-3.65676806
"AUDATEX DATOS ESPAÑA","AV BRUSELAS (DE) 36 2º PLANTA","28100","ARROYO DE LA VEGA","916572000","916612049","audatexdatos@audatexdatos.es","www.audatexdatos.es","ANTONIO SANCHEZ","","INFORMATICA","DESARROLLO DE BASE DE DATOS",40.52930041,-3.64265580
"AUDATEX ESPAÑA","AV BRUSELAS (DE) 36 2º PLANTA","28100","ARROYO DE LA VEGA","916572000","916624303","audatex@audatex.es","www.audatex.es","Mª DOLORES CANTELAR / VIRGINIA DIAZ","","INFORMATICA","SISTEMA INFORMATICO PARA VALORACION DE DAÑOS EN AUTOMOVILES",40.52930041,-3.64265580
"AURGI","AV VALDELAPARRA (DE) 67","28100","POLIGONO INDUSTRIAL","918295599","NO DISPONIBLE","57jc@aurgi.com","www.aurgi.com","CARMEN FORONDA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","RECAMBIOS Y MANTENIMIENTO DE VEHICULOS",40.53977437,-3.65335502
"AURIGAE","CL JOSE ECHEGARAY (DE) 10","28100","PARQUE EMP. CASABLANCA","916574471","916574594","rrhh@aurigae.com","www.aurigae.com","PATRICIA CRUZ","","INFORMATICA","CONSULTORIA INFORMATICA",40.54255208,-3.65416627
"AUTO LEMANS","CL VALGRANDE (DE) 22 NAVE 9","28108","POLIGONO INDUSTRIAL","640296684","NO DISPONIBLE","talleresautolemans@hotmail.com","NO DISPONIBLE","HUGO","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER CHAPA Y PINTURA",40.53934213,-3.65153838
"AUTO MOTOR SPORT ALCOBENDAS","CL VALGRANDE (DE) 17","28108","POLIGONO INDUSTRIAL","916614622","NO DISPONIBLE","info@auto-motorsport.net","www.autohausmotorsport.es","ALBERTO CESPEDES","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","MECANICA",40.53733102,-3.65088986
"AUTOCAB COMPUTER SYSTEM","AV INDUSTRIA (DE LA) 8 - EDIF  A PLANTA 3º","28108","POLIGONO INDUSTRIAL","914905806","914905798","cristina.delamorena@autocab.com","www.autocab.com","CRISTINA","","MAYORISTAS","COMERCIO AL POR MAYOR DE SISTEMAS DE GESTION DE FLOTAS CON TECNOLOGIA",40.53525212,-3.64306522
"AUTODERE INTERNACIONAL","CL SAN JOSE ARTESANO (DE) 5","28108","POLIGONO INDUSTRIAL","916465120 / 910552079","NO DISPONIBLE","autodereinternacional@gmail.com","NO DISPONIBLE","CONCHI DELGADO","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","VENTA DE RECAMBIOS, REPARACION Y MANTENIMIENTO DE VEHICULOS INDUSTRIALES",40.52970768,-3.65549705
"AUTONOA","AV INDUSTRIA (DE LA) 32 NAVE 29","28108","POLIGONO INDUSTRIAL","916627183 / 632209050","NO DISPONIBLE","info@autonoa.es","www.autonoa.es","FRANCISCO OLIVA","","REPARACION DE AUTOMOVILES Y OTROS VEHICULOS A MOTOR. ITV","TALLER DE VEHICULOS MULTIMARCA",40.53412153,-3.65245488
"AUTOS DRIVECAR","CL VALGRANDE (DE) 10 - NAVE1","28108","POLIGONO INDUSTRIAL","916546951","916526469","info@autosdrivecar.com","www.autosdrivecar.com","JULIAN FERNANDEZ SANCHEZ","","SERVICIOS DE TRANSPORTES, ALQUILER DE VEHICULOS Y GRUAS,  MENSAJERIA. MUDANZAS","AUTOMOVILES DE ALQUILER CON CONDUCTOR",40.53777491,-3.65095781
"AUTOTRECA","AV INDUSTRIA (DE LA) 14","28108","POLIGONO INDUSTRIAL","918041333","NO DISPONIBLE","comercial@autotreca.seat.es","www.autotreca.es","ENRIQUE CABEZAS","","VENTA DE VEHICULOS A MOTOR. CONCESIONARIO OFICIAL","VENTA VEHICULOS NUEVOS, USADOS Y REPARACION",40.53492095,-3.64438931
"AUTRONIC COMUNICACIONES","CL ARAGONESES (DE LOS) 2 -NAVE 2 - ACCESO 3","28108","POLIGONO INDUSTRIAL","986467090 EXT. 125","NO DISPONIBLE","m.alonso@autronic.net","NO DISPONIBLE","MANUEL ALONSO FERNANDEZ","","SERVICIOS TECNICOS DE REPARARACION DE TV. VIDEO Y ELECTRODOMESTICOS","INSTALACION Y SERVICIO TECNICO DE EQUIPOS DE TELECOMUNICACIONES Y OPERADOR DE RED DE RADIO Y TV.",40.52357421,-3.66093000
"AUXER","CL JOSE ECHEGARAY (DE) 14","28100","PARQUE EMP. CASABLANCA","916629929","NO DISPONIBLE","auxer@auxersl.es","www.auxer.es","JERONIMO ZAPATA","","SERVICIOS A LA PROPIA EMPRESA. COWORKING","MULTISERVICIOS A EMPRESAS",40.54240057,-3.65446836
"AVALON II","AV INDUSTRIA (DE LA) 53","28108","POLIGONO INDUSTRIAL","915295729","NO DISPONIBLE","a.b.diego@hotmail.com","NO DISPONIBLE","ANGEL","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","HOSTELERIA",40.53361781,-3.65620683
"AVANZO","AV EUROPA (DE) 21 1ª PLANTA","28108","PARQUE EMP. MORALEJA","914360270","914360283","pilar.bello@avanzo.com","www.avanzo.com","PILAR BELLO","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","FORMACIÓN ONLINE",40.51358608,-3.65794537
"AVELLANAR INVERSIONES","AV EUROPA (DE) 21 BAJO IZQ. A","28108","PARQUE EMP. MORALEJA","916624495 / 917049339","NO DISPONIBLE","lidia@avellanar.com","NO DISPONIBLE","LIDIA ANDRES","","INMOBILIARIAS Y CONSTRUCTORAS","INMOBILIARIA",40.51358608,-3.65794537
"AVINILO","CL VALDEPALITOS (DE) 5 LOCAL NARANJA","28100","CASCO URBANO","679191583","NO DISPONIBLE","isanz@avinilo.com","www.avinilo.com","ISMAEL ZASCARRILLO","","ARTES GRAFICAS, IMPRENTA, ENCUADERNACION, FOTOCOPIAS","INSTALACION ROTULOS DE VINILO, SERIGRAFIA, DISEÑO GRAFICO",40.54758457,-3.64695691
"AXFLOW","AV INDUSTRIA (DE LA) 53","28108","POLIGONO INDUSTRIAL","917291818 / 606356792","NO DISPONIBLE","jalonso@axflow.es","www.axflow.com","JULIO ALONSO / MERCEDES CAMARA","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","BOMBOS HIDRAULICOS",40.53361781,-3.65620683
"AXIOMA","AV VALDELAPARRA (DE) 4","28100","POLIGONO INDUSTRIAL","911999820","NO DISPONIBLE","info@axiomaarquitectura.com","www.axiomaarquitectura.com","ANDRES HERRERA","","INMOBILIARIAS Y CONSTRUCTORAS","CONSTRUCTORA",40.53651893,-3.64164576
"AZELER","CL VALPORTILLO I (DE) 5 2º, A2","28108","POLIGONO INDUSTRIAL","914841435","NO DISPONIBLE","contacto@azeler.com","www.azelerecambios.com","MONICA GARCIA","","INFORMATICA","SW GESTION E INGENIERIA DE TELECOMUNICACIONES",40.53033366,-3.65403627
"AZLAN","AV VEGA (DE LA) 1 - EDIFICIO 2 PLANTA 2","28108","ARROYO DE LA VEGA","914148300","914148301","recepcion_alcobendas@techdata.es","www.techdata.es","SANTIAGO MENDEZ","","INFORMATICA","TECNOLOGIA DE LA INFORMACION",40.52433701,-3.63873734
"B | BRAUN","AV VALDELAPARRA (DE) 35","28100","POLIGONO INDUSTRIAL","916615946","NO DISPONIBLE","maria_jose.alvarez@bbraun.com","www.bbraun.es","MARIA JOSE ALVAREZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","LABORATORIO FARMACEUTICO",40.53935363,-3.64919049
"BANCA MARCH","AV BRUSELAS (DE) 6","28100","ARROYO DE LA VEGA","916572635","NO DISPONIBLE","NO DISPONIBLE","www.bancamarch.es","NO DISPONIBLE","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","ENTIDAD BANCARIA",40.53122456,-3.63228077
"BANCO POPULAR ESPAÑOL","CL SAN RAFAEL (DE) 6","28108","POLIGONO INDUSTRIAL","914841587","916623301","NO DISPONIBLE","www.bancopopular.es","javier lazaro","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","BANCA COMERCIAL",40.52498499,-3.65938990
"BANCO POPULAR ESPAÑOL AGENCIA 1","AV VALDELAPARRA (DE) 57","28108","POLIGONO INDUSTRIAL","916615970","916623517","00751063@bancopopular.es","www.bancopopular.es","JAME RIBES","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","ENTIDAD BANCARIA",40.53985228,-3.65205053
"BANCO POPULAR ESPAÑOL URB. 4","AV BRUSELAS (DE) 9","28108","ARROYO DE LA VEGA","916574493","916622269","00751390@bancopopular.es","NO DISPONIBLE","JAVIER MARTINEZ","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","BANCA",40.53125233,-3.63363326
"BANG & OLUFSEN ESPAÑA S.A.","AV EUROPA (DE) 2 - PLANTA BAJA - B","28108","PARQUE EMP. MORALEJA","916616575","916616576","evi@bang-olufsen.dk","www.bang-olufsen.dk","ENCARNA","","ELECTRODOMESTICOS Y MAQUINAS DE COSER","COMERCIO  MAYOR DE PRODUCTOS ELECTRICOS Y ELECTRONICOS DE CONSUMO",40.51917121,-3.66181102
"BANKIA","AV INDUSTRIA (DE LA) 32 - B","28108","POLIGONO INDUSTRIAL","916573056","NO DISPONIBLE","ce2831@bankia.com","www.bankia.es","IGNACIO GUJEL","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","BANCA Y SERVICIOS FINANCIEROS",40.53425345,-3.65158382
"BANKINTER","AV BRUSELAS (DE) 12","28108","ARROYO DE LA VEGA","913397500 / 649847089","916234236 / 913397664","isierra@bankinter.es","www.bankinter.com","ISMAEL SIERRA RUIZ / TERESA CHACON OTERO","","CAJAS DE AHORRO, BANCA Y SERVICIOS FINANCIEROS","ENTIDAD FINANCIERA",40.53161628,-3.63406546
"BANKINTER SEGUROS DE VIDA, S.A.","AV BRUSELAS (DE) 12","28108","ARROYO DE LA VEGA","913397500","916579087","isierra@bankinter.es","NO DISPONIBLE","ISMAEL SIERRA","","SEGUROS GENERALES, MUTUAS DE ACCIDENTES","SEGUROS",40.53161628,-3.63406546
"BAR RESTAURANTE VALGRANDE","CL VALGRANDE (DE) 5","28108","POLIGONO INDUSTRIAL","916619734","NO DISPONIBLE","valgranderestaurante@gmail.com","NO DISPONIBLE","ANGEL NUÑEZ CARRERA","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","BAR RESTAURANTE",40.53565484,-3.64839178
"BAR-RESTAURANTE EL ALTILLO","CL GRANJA (DE LA) 86","28108","POLIGONO INDUSTRIAL","916618707 / 916617196","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","PABLO","","BARES, CAFETERIAS, RESTAURANTES, HELADERIAS Y COMIDAS PREPARADAS","BAR - RESTAURANTE",40.53538748,-3.65671522
"BAUSCH & LOMB","AV VALDELAPARRA (DE) 4","28108","POLIGONO INDUSTRIAL","916576300","916614266","raquel_morano@bausch.com","www.bausch.com","RAQUEL MORANO","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","PRODUCTOS OCULARES PARA PROFESIONALES",40.53651893,-3.64164576
"BBVA AUTORENTING","CL SAN RAFAEL (DE) 2","28108","POLIGONO INDUSTRIAL","916623081","NO DISPONIBLE","madrid@g-l-a.com","www.bbvaautorenting.com","ROBERTO","","VENTA DE VEHICULOS A MOTOR. CONCESIONARIO OFICIAL","VENTA DE VEHICULOS",40.52401140,-3.65820488
"BCE","CR FUENCARRAL (DE) 44 EDF. 3, PLANTA 1, OFICINA 12","28108","POLIGONO INDUSTRIAL","NO DISPONIBLE","NO DISPONIBLE","info@s-bce.es","www.s-bce.es","ALFONSO PEREZ","","PUBLICIDAD, MARKETING, SONIDO, CINE, TV, FERIAS, EVENTOS  Y CONGRESOS","GESTION DE COMUNICACIONES MASIVAS PERSONALIZADAS",40.51888227,-3.65470622
"BECKMAN COULTER","CL VALGRANDE (DE) 8 - EDIFICIO THANWORTH 2º PLANTA","28108","POLIGONO INDUSTRIAL","917931193","NO DISPONIBLE","jmunoz02@beckman.com","www.beckmancoulter.com","JULIO MUÑOZ","","SECTOR MEDICO, FARMACEUTICO Y OPTICO","DISTRIBUCION Y SOPORTE TECNICO DE INSTRUMENTOS BIOMEDICOS DE LABORATORIO",40.53707501,-3.65013897
"BERLYS","CL FRANCISCO GERVAS (DE) 1 EDIFICIO","28108","POLIGONO INDUSTRIAL","916619937","NO DISPONIBLE","rhumanos@berlyscorporacion.com","www.berlys.es","MARTA RODRIGUEZ","","PRODUCCION Y DISTRIBUCION DE ALIMENTOS Y BEBIDAS","COMERCIOY DISTRIBUCION DE MASAS CONGELADAS DE PANADERIA, PASTALERIA Y BOLLERIA",40.53042958,-3.65080103
"BERMEJO SANCHEZ, JUAN LUIS","AV DOCTOR SEVERO OCHOA (DEL) 41 - LOCAL B","28100","PARQUE EMP. CASABLANCA","916521725 / 619779004","916521725","j.l.bermejo@hotmail.com","NO DISPONIBLE","JUAN LUIS BERMEJO SANCHEZ","","MAYORISTAS","COMERCIO AL POR MAYOR DE MADERA Y METAL",40.54136708,-3.65367784
"BERNAFON","CR FUENCARRAL (DE) 24 EDF. EUROPA I, PLANTA 3, PUERTA 4","28108","POLIGONO INDUSTRIAL","916573586","NO DISPONIBLE","info.es@bernafon.com","www.bernafon.com","SANDRA LOPEZ","","DISTRIBUCION DE DIVERSOS PRODUCTOS DE CONSUMO","DISTRIBUIDOR Y FABRICANTE DE AUDIFONOS",40.51888227,-3.65470622
"BERNARDO GUADALIX","CL VALPORTILLO I (DE) 7","28108","POLIGONO INDUSTRIAL","916621384","916621384","bernardoguadalix@yahoo.es","NO DISPONIBLE","JUAN GUADALIX","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","ALMACEN DE MATERIALES DE CONSTRUCCION- AZULEJOS Y PAVIMENTOS- CONTENEDORES",40.53086086,-3.65405459
"BESAM CRAWFORD","CL VALPORTILLO II (DE) 7 - 2º DERECHA","28108","POLIGONO INDUSTRIAL","916601070","916614380","eduardo.gimeno@assaabloy.com","www.besam.es","EDUARDO GIMENO","","MATERIAL DE CONSTRUCCION, FONTANERIA.  SANEAMIENTOS, PUERTAS, ARMARIOS Y TOLDOS","PUERTAS AUTOMATICAS Y SOLUCIONES DE ACCESO INTEGRALES",40.53343097,-3.65581250
